tiempo_hora_local,temperatura,humedad,punto_rocio,direccion_viento,velocidad_viento,rafagas_viento,presion,indice_UV,ozono,intensidad_precipitacion,estado_clima_num
2019-10-01 00:00:00,26.0,1.0,22.01,101.0,3.08,6.42,1008.45,0.0,268.6,0.0,4
2019-10-01 01:00:00,25.0,1.0,22.06,105.0,2.94,6.28,1008.24,0.0,269.1,0.0,4
2019-10-01 02:00:00,25.0,1.0,22.06,106.0,2.82,6.08,1007.9,0.0,269.7,0.0,4
2019-10-01 03:00:00,24.0,1.0,21.87,106.0,2.63,5.74,1007.61,0.0,270.4,0.0,4
2019-10-01 04:00:00,23.0,1.0,21.53,100.0,2.39,5.3,1007.51,0.0,271.3,0.0,4
2019-10-01 05:00:00,23.0,1.0,21.56,94.0,2.09,4.47,1008.03,0.0,271.6,0.0,4
2019-10-01 06:00:00,24.0,1.0,21.97,95.0,2.31,4.07,1008.61,0.0,271.8,0.0,4
2019-10-01 07:00:00,25.0,1.0,22.34,96.0,2.98,4.65,1008.97,0.0,272.4,0.0,3
2019-10-01 08:00:00,25.0,1.0,22.35,99.0,3.44,5.14,1009.53,1.0,272.8,0.0,3
2019-10-01 09:00:00,27.0,1.0,22.21,102.0,3.49,4.77,1010.0,3.0,272.6,0.0,3
2019-10-01 10:00:00,28.0,1.0,22.12,101.0,2.92,3.52,1009.99,4.0,271.6,0.0,3
2019-10-01 11:00:00,30.0,1.0,21.71,91.0,2.21,2.32,1009.86,5.0,271.0,0.03,3
2019-10-01 12:00:00,31.0,1.0,21.1,77.0,1.9,1.9,1009.39,6.0,271.2,0.02,3
2019-10-01 13:00:00,32.0,1.0,20.52,60.0,2.03,2.03,1008.35,5.0,271.6,0.01,3
2019-10-01 14:00:00,33.0,0.0,19.91,44.0,2.39,2.4,1007.24,5.0,272.2,0.01,3
2019-10-01 15:00:00,33.0,0.0,19.46,36.0,2.77,2.78,1006.39,4.0,272.5,0.0,3
2019-10-01 16:00:00,33.0,0.0,19.04,34.0,3.01,3.01,1006.08,2.0,272.5,0.0,3
2019-10-01 17:00:00,33.0,0.0,18.88,38.0,3.04,3.04,1005.97,1.0,272.6,0.0,3
2019-10-01 18:00:00,32.0,1.0,19.81,42.0,2.96,3.1,1006.39,0.0,273.2,0.0,3
2019-10-01 19:00:00,30.0,1.0,20.85,23.0,2.72,3.73,1007.49,0.0,274.2,0.06,4
2019-10-01 20:00:00,28.0,1.0,21.04,4.0,2.48,4.66,1008.37,0.0,275.4,0.15,2
2019-10-01 21:00:00,27.0,1.0,21.31,19.0,2.61,5.54,1008.99,0.0,276.0,0.15,2
2019-10-01 22:00:00,27.0,1.0,21.66,47.0,3.03,6.48,1009.27,0.0,276.4,0.06,2
2019-10-01 23:00:00,26.0,1.0,21.85,69.0,3.28,6.7,1009.67,0.0,276.1,0.0,2
2019-10-02 00:00:00,26.0,1.0,20.53,85.0,3.13,6.29,1010.06,0.0,275.6,0.0,2
2019-10-02 01:00:00,26.0,1.0,20.9,96.0,2.7,5.81,1009.86,0.0,275.6,0.0,2
2019-10-02 02:00:00,25.0,1.0,20.79,116.0,2.22,5.19,1009.67,0.0,275.6,0.0,2
2019-10-02 03:00:00,25.0,1.0,20.56,122.0,1.86,4.75,1009.59,0.0,275.8,0.0,2
2019-10-02 04:00:00,24.0,1.0,20.33,113.0,1.6,4.56,1009.63,0.0,276.2,0.0,2
2019-10-02 05:00:00,23.0,1.0,20.24,105.0,1.26,3.52,1010.06,0.0,277.0,0.0,2
2019-10-02 06:00:00,24.0,1.0,20.6,119.0,1.06,2.44,1010.52,0.0,277.9,0.01,2
2019-10-02 07:00:00,25.0,1.0,21.13,128.0,1.1,2.28,1010.91,0.0,278.4,0.03,1
2019-10-02 08:00:00,26.0,1.0,21.43,137.0,1.11,2.17,1011.65,1.0,278.6,0.05,1
2019-10-02 09:00:00,27.0,1.0,21.71,154.0,1.1,1.97,1012.16,3.0,277.9,0.05,1
2019-10-02 10:00:00,28.0,1.0,21.62,67.0,1.19,1.66,1012.18,5.0,276.2,0.03,1
2019-10-02 11:00:00,29.0,1.0,21.19,6.0,1.59,1.69,1011.88,7.0,275.2,0.02,3
2019-10-02 12:00:00,30.0,1.0,20.75,10.0,2.0,2.0,1011.26,8.0,275.1,0.01,3
2019-10-02 13:00:00,31.0,1.0,20.27,16.0,2.15,2.15,1010.36,8.0,275.1,0.0,3
